Help!	Kapadle
I fixed the car yesterday.	Yan gaadin kode sari manthe
I found out where she was.	Yenk aal vol ullal andh gothand
I get up at six every day.	Yan aaji ganteg lakkuve
I have a Facebook account.	Yenada facebook kathe undu
I have no time to see you.	Yenk ninnan thoyare pursoth ijji
I haven't seen Tom lately.	Yan Tom n masth samayad thoothiji
I haven't seen him lately.	Yan ayen masth samayad thoothiji
I know how to drive a car.	Yenk gaadi budre barpund
I like the way she smiles.	yenk alna thelike baari ista
I met him at the barber's.	Yan ayen kelesi dhalpa thikye
I sold it for ten dollars.	Yan aven path dollars g maarye
I usually get up at eight.	Yan yepala yedma ganteg lakkuve
I want to see the manager.	Yenk manager n thikkod
I want to see the manager.	Yenk manager n thikkod
I want to travel with you.	Yenk ninot g thirgodu
I was afraid he might die.	Yenk podige aand aye saipe nandh
I wish I had this problem.	Yenk indh samasye upod andh aase ithind
I wish I had this problem.	Yenk indh samasye upod andh aase ithind
I'll be there at five p.m.	Yan ade ain ganteg upuve
I'll bring one more towel.	Yan kudonji kuntu kanape
I'm busy with my homework.	Yan homework manthodh ulle
I'm disappointed with you.	Yenk ninna mith masth bejar aand
I'm glad to see you again.	Yenk ninnan thoodh masth kushi aand
I'm interested in history.	yenk ithihasa d ista undu.
I'm interested in history.	yenk ithihasa d ista undu.
I'm standing in the shade.	Yan nirel du unthondh ulle
I'm standing in the shade.	Yan nirel du unthondh ulle
I'm waiting for my mother.	Yan ammag kathomdh ulle
It is a difficult problem.	Av onji bangadha samasye
It is easy to add 5 to 10.	Ain g path kudavare masth sulabha
It's already nine o'clock.	Ithene orumba gante aand
It's for a friend of mine.	Indh yenna dostigh
Let's meet this afternoon.	Ini madhyana thikga
May I ask a few questions?	Yan kelav prashne kenoliya?
Mother bought me the book.	Amma booku n kanther
My brother lives in Tokyo.	Yenna anne tokyo du ulle
My father may be sleeping.	yenna ammer jethondh upoli
My father stopped smoking.	Yenna ammer oipuna budiyer
My right foot is sleeping.	Yenna bala kaar jethondh undu
My wife really hates cats.  Yenna bodedhig puche panda apuji
Never speak ill of others.	Bethe janaklena bagge bodchandhina panare balli
One of my bags is missing.	yenna onji cheela dhakudh pond
One of my bags is missing.	yenna onji cheela dhakudh pond
School begins at 8:30 a.m.	Shale edma-arek shuru aapund
She did it all by herself.	Aal alnatheg pura manthal
She has not come here yet.	Aal nanala moolu baijal
She looked at the picture.	Aal chitra n thooyal
She showed me her new car.	Aal alna posa gaadi thoopayal
Smog causes plants to die.	Smog dha deset gida pura saithind
Some snakes are poisonous.	Kelav uchulu vishakaari
Thank you for the present.	udugore kornek solume
The enemy won't get close.	Pagethaye kaithal barpujer
The haze enveloped London.	maindh london du birkuni
The king abused his power.	Raja ayena shakthi n dhurupayoga manthe
The prisoner was released.	kaidhin budiyer
There is no TV in my room.	Yenna kone du dhooradharshana undu
There must be another way.	kudonji sadhi undu
These are very big apples.	Indh malla-malla eppulu
They are watching a movie.	Akul chalanachitra thooyer
They looked at each other.	Akul aklen thooyer
This desk is made of wood.	Indh meji maratha
This is my father's house.	Indh yenna ammerna illa
Today is Independence Day.	Ini swathantra dhinacharane
Tom couldn't help but cry.	Tom g bulpuna thadathondre thiriji
Tom couldn't help but cry.	Tom g bulpuna thadathondre thiriji
Twenty families live here.	Irva kutumbol mulpa jeevana manthondh uller
We all felt sorry for Tom.	Nama Tom goskara bejard ulla
We painted the door green.	Nama bakilu g pache banna padudha
We regard him as our hero.	Nama Ayen hero nd nambuva.
We walked around the pond.	Nama kere dha barit nadatha.
We're here to protect you.	Nama ninan kapadre ulla.
We're here to protect you.	Nama ide ninnan kapadre bathini.
What a lucky person he is!	Aye yeth adrusta vanthe.
What did you do yesterday?	ee kode dhadha mantha.
What do you want me to do?	Ninna lekkad yan dhadha malpod?
What's your favorite food?	Ninna ista dha Thindi ovu?
Why are you talking to me?	Ee dhaye yenada patherondh ulla?
Will you make room for me?	yenk chur jage koroliya?
Would you mind if I smoke?	yan oyithundha nik dhala bejar ijji atha?
Yesterday was my birthday.	Kode yenna putudhina dhina.
You are tired, aren't you?	Nik bachind, atha?
You had better go at once.	Ee bega popina yedde.
You keep a dog, don't you?	Ee onji nayi sankuva,atha?
A crow is as black as coal.	kakke genda lekka kappu undu.
A man appeared at the door.	bakilu dhalpa oriyen thooye.
Come see me again tomorrow.	yelle yenan kuda thooyare bala.
Do you have an appointment?	Ninada appointment unda?
Don't fail to call me back.	yenk pira call akkare maraporchi.
Don't say things like that.	Aancha matha patherodchi.
Each of them has a bicycle.	akleda pura cycle undu.
Father is watering flowers.	papa pookleg neer budondh uller.
Greeks often eat fish, too.	greeks yepala meen thinper.
Have you ever seen a koala?	Ee koala n thoothana?
He asked me for some money.	Aye yenada chur kaas kende.
He became a police officer.	Aye police officer aye.
He believes whatever I say.	Aye yan dhadha pandala nambuve.
He decided to quit smoking.	Aye oyipunen budpina thirmana manthe.
He did the work on his own.	Aye bele ayenathige manthe.
He is engaged to my sister.	Aye yenna akka notug madime g nischaya aand.
He occasionally visited me.	Aye ora-ora thikyare barpe.
He saw a dog near the door.	Aye bakilu dhalpa nayi nd thooye. 
He usually comes home late.	Aye yepala illag kadesa barpe. 
He visited Kyoto last year.	Aye poyina varsha kyoto g podh ithe.
He's always late for class.	Aye class g yepala kadesa barpuni.
His opinions are worthless.	Ayena abhipraya g yogyathe ijji.
Honesty is the best policy.	Pramanikathe yedde chathurya
How long has she been sick?	Aleg yeth dhinardinchi ushar ijjand?
How many books do you have?	Ninada yeth booku undu?
I am interested in English.	Yenk English du aase undu.  
I arrived later than usual.	Yan yepala barpinedh kadesa bathe.
I believe whatever he says.	Yan aye dhadha pandala nambuve.
I bought two dozen pencils.	Yan radd dhajen pencil dethe.
I can't take any more work.	Yenk nana bele malpare apuji. 
I cover twenty miles a day.	Yan dhinala irva miley nadapuve. 
I don't believe him at all.	Yan ayen nambune ijji.
I don't care what they say.	Akul dhadha pandala yenk dhala ijji.
I don't know what to study.	Yenk dhadha kalpod pandh gothuji.
I had to decline his offer.	Yan ayena opige n sweekara malpare ayiji.
I sat between Tom and John.	Yan tom baka john na madhyad kuliye.
I was born on June 4, 1974.	Yan june 4,1974 d putini.
I was in London last month.	Yan poyina thingol london d ithe.
I'd like a map of the city.	Yenk oorudha nakshe bod.
I'm a good-for-nothing bum.	Yan oyikla prayojana ijji.
I'm looking for an old man.	Yan oriye parabey n nadondule.
Is the mouse dead or alive?	Indh eli saidndha badhkundha?
It hardly ever rains there.	Mulpa masth bangad barsa barpund.
It is said that he is sick.	Panthileka ayeg ushar ijji.  
It seems interesting to me.	Yenk indh masth gammath thoojund.
It seems interesting to me.	Yenk indh masth gammath thoojund.
It's raining cats and dogs.	Joru barsa barond undu.
It's raining cats and dogs.	Joru barsa barond undu.
It's the same for everyone.	Indh pura janakleg onje.
My aunt brought me flowers.	Yenna mami yenk poo kanther.
My boss will not say 'yes'.	Yenna boss 'aw' panayare.
Our train stopped suddenly.	Namma train orane unthund. 
Place it wherever you like.	Aven nik vol ista undu avlu dheela.
She forgot to feed her dog.	Aal nayi g thinre padre marath pondu.
She has long arms and legs.	Aleg udha kai boka udha kar undu.
She is in bed with a fever.	Aal jwarat jeythal.
She knew the story already.	Aleg kaathe dumbe gothund.
She likes her school a lot.	Aal alna shale n masth moke malpuval.
She married Tom last month.	Aal poyina thingol tom n madime ayal.
She plays tennis very well.	Aal tennis yedde gobbuval.
She suddenly became famous.	Aal orane prasidha ayal.
She was crying in her room.	Aal alna kone d bullithond ithal.
Take good care of yourself.	Ee jagrthed thoola ninan.
That's really a great idea.	Av bari yedde manobhava.
The box he found was empty.	Ayeg thikina dabi kaali ithind.
The bride suddenly laughed.	Madimal orane thelthal.
The man hit me on the head.	Aa vyakthi yenna tharek akiye.
The medicine tastes bitter.	Indh mardh kaipe undu.
The mud clung to his shoes.	kure ayena muttug antund.
The novel is very exciting.	Indh katt-kathe masth romanchaka undu. 
The paint hasn't dried yet.	Banna nanala nungudh ijji.
The rain continued all day.	Barsa idi dhina barond ithind.
The water is not drinkable.	indh neer parpulekka ijji.
There is a bag on the desk.	Meji dha meeth chila ithind.
This car was made in Japan.	Av gaadi japan d malthini.
This is the monsoon season.	Indh barsadha samaya.
This word comes from Greek.	Indh shabdha greek rd bathini.
Tom and I'll both be there.	Tom baka yan alpa uppuva.
Tom, I want to talk to you.	Tom ,yenk ninada pathere undu.
Turn off the light, please.	ujade n dhayamanthudh bandh malpu.
Turn off the light, please.	ujade n dhayamanthudh bandh malpuley.
We all laughed at his joke.	Nama pura theltha ayena makarig.
We celebrated his birthday. Nama ayena putudhina dhina acharane mantha.
We don't know where we are.	Namak gothujji nama olu ullandh.
We should keep our promise.	Namma vachana nama oripavodu.
We voted for the candidate.	nama umedware g opige koriya.
We voted for the candidate.	nama pura umedware g opige koriya.
We want complete sentences.	Namak poorthi vakya bodu.
We've got that figured out.	Nama aven enchala maantha.
What I said hurt his pride.	Yan dhadha pande Av ayena sorpu g bene aand.
What do you call this bird?	Ee pakki n dhadha leppun.
What happened to our order?	Namma order g dhadhand?
Where did all the bread go?	Pura bread olu pondu?
Where is the changing room?	Angi depuna kone olu undu?
Why don't you listen to me?	Yenna pathera dhane kenyere apuji?
Will you turn on the light?	Ojade n chaal malpu?
You are always complaining.	Aye yepala dhurond uppuve.
You are on the wrong train.	Ee saritha rail nd ijja.
A day has twenty-four hours.	onji dhinak irvatha naal gante undu.
Are you for or against this?	Ee namma veerodha na ath nammanchi ya?
At last, we got to the lake.	Anthu inthu karek mutiya.
Bring your sister next time.	Kudora bannaga ninna tangadinla lethond bala.
Can you teach me how to fly?	Yenk ee rayare kalpavana.
Canada is larger than Japan.	canada japan rd malla.
Could you speak more slowly?	nik  nanala mella patheroliya?
Do you have any soft drinks?	Ninada sharbath matha unda?
Do you have time on Tuesday?	Nik angare pursoth unda?
Do you want to go somewhere?	Nik dhoorana poyare unda?
Do you want to go somewhere?	Eereg dhoorana poyare unda?
Everyone felt sorry for Tom.	Purrella tom g bejar ayere.
Everyone speaks well of him.	Purrella ayena bagge yedde patherver.
France is in Western Europe.	France paschimad uppuni.
France is in western Europe.	France paschimad uppuni.
He closed the door suddenly.	Aye orane bakilu bandh manthe.
He could not breathe deeply.	Aye masth ullai swasa dethije.
He doesn't know how to swim.	Aye nindre gothujji
He explained the rule to me.	Aye niyama n vevara malth pande.
He is digging his own grave.	Aye ayena samadhi n okondulle.
He plays baseball every day.	Aye dhinala baseball gobuve.
He prefers French to German.	Ayeg french rd german yedde aapund.
He read this book yesterday.	Aye indh booku n kode odhiye.
He repeated his name slowly.	Aye ayena pudar kudora mellane pande.
He treats me like his slave.	Aye yenan ayena gulam lekka thoope.
He went there instead of me.	Yenna badal g aye poye adde.
His birthday is August 21st.	Ayena putudhina dhina august irvatha onjek.
How long will you stay here?	Ee  mulpa yeth dhina ulla.
I accompanied her on a walk.	Yan aal nottige nadathe.
I believe you like your job.	Yan nambondulle nik ninna bele yedde appund andh.
I didn't go out last Sunday.	Yan  dhoorala pothiji poyina ayithara.
I don't know if he knows it.	Yenk gothuji ayeg gothund nd.
I don't know what Tom knows.	Yenk gothuji tom dhadha gothund andh.
I don't know what they know.	Yenk gothuji akleg dhadha gothund andh.
I explained the rule to him.	Yan niyaman vivara malth pande.
I gave him what money I had.	Yenada yeth kass ithind ath koriye.
I had never seen him before.	Yan ayen orala thoothiji.
I have already done my work.	Yan dhumbe yenna bele malthe.
I have just cleaned my room.	Yan ithe ochiye yenna konen.
I have seen her three times.	Yan alen muji sala thoothe.
I have to answer his letter.	Yenk ayena pathera g uthara korod.
I met your father yesterday.	Yenk ninna ammer thikyer kode.
I prefer walking to cycling.	Yenk nadaparerdh cycle yedde.
I sAv him crossing the road.	Yan ayen marga dathond ithina thooye.
I was born in Osaka in 1977.	yan osaka du 1977 du puttini
I will call on him tomorrow.	Yan yelle call malpuve nik.
I'll be on duty this Sunday.	Barpina ayithara yan duty du ulle
I'm sorry, my father is out.	Kshamey kenve yenna ammer illad ijjer.
Insert it wherever you like.	olu bodithindla thurkav.
Iron is a very useful metal.	Karba namak bodhu ethina vastu.
Is Spanish spoken in Mexico?	Mexico du spanish patheruna?
Is it about ten million yen?	Undu path laksha yen mutta unda?
Is it hard to speak English?	English pathere kaasta na?
It is a sheer waste of time.	Av pakade porthu haal aapund.
It was easy for me to do so.	Av yenk sulabha malpare aancha.
It was too difficult for me.	Av yenk masth kaasta ithind.
It's like a dream come true.	yan yenina sathya ayileka aand yenk.
Let's cut down our expenses.	Nama namma karchi n kadime malpuga.
Mary loves going to the spa.	Mary g spa dade poyere ista.
My father is going to China.	Yenna amere china g popere.
My jeans shrank in the wash.	Yenna jeans kudhiya aand ardh ayiboka.
No answer is also an answer.	uthara korjidala onji utharane.
No one can move the big box.	Av malla dabe n yeregla algayere apujji.
Nobody answered my question.	Yerla uthara korjer yenna prashne g.
Nobody else offered to help.	Yeregla sahaya malpere ista mudidh bathiji.
Please give me a cup of tea.	dhayamanthudh onji lote chaa korle.
Please speak in a low voice.	Dhaymanthud chur mella pathervana.
Please speak in a low voice.	Dhayamanthudh chur mella pather.
See what's going on outside.	Thoola pidai dhadha avondundh.
She allowed him to go alone.	Aal ayen oriye poyere budiyal.
She declined the invitation.	Aal leppuvanu nek kshaya korjal.
She dialed the wrong number.	Aal tappu number g dial malthal.
She said that she was happy.	Aal pandal aal kushit ullal nd.
She saved a hundred dollars.	Aal path dollar oripiyal.
She was robbed of her purse.	Alna purse alerdh kandiyer.
She wears her hair in a bun.  	Aal alna tharek sudi katiyal.
Smoking is not allowed here.	Mullu oyipare ijji.
Soldiers are used to danger.	Sipayi nakleg apaya kari bele malpere abyasa athand.
Someone knocked on the door.	Yera bakilu botondh uller.
Spanish is spoken in Mexico.	Spanish mexicod patheruni.
Speaking English isn't easy.	English pathere ath sulabha ijji.
Stand still and keep silent.	Mani pandhe unthu.
Take off your socks, please.	dhayamanthudh socks deppu.
Ten houses were burned down.	Path ill pothudh pondu.
Thank you for the other day.	Av dhinak soulmelu.
Thank you very much, doctor.	Masth soulmelu vidhwamsare.
That town is two miles Avay.	Av pattana rad mile dhoora undu.
That town is two miles Avay.	Av pattana rad mile dhoora undu.
The Japanese have dark eyes.	Japan dhakleg masth kappu kann undu.
The hot water isn't running.	Beccha neer chalu avondh ijji.
The room smelled of tobacco.	Av koned tambaku da vasane barondh ithind.
The store is not open today.	Angadi ini theredh upujji.
The store is not open today.	Angadi ini bandh.
There is a book on the desk.	Meji da mith booku undu.
They are both good teachers.	Akul radd yedde upabodhaker.
This house has eleven rooms.	Ee illad pathonji kone undu.
This must be a real diamond.	Indh achcha vajra.
Today I turn four years old.	Ini enk nal varsha aand.
Tom isn't able to drive yet.	Tom g ithe mutta gaadi budre barpuji.
Tom saved her from the fire.	Tom alen thoo rd kapadiye.
Try to improve your English.	Ninna english chur yedde malpd.
We drink our tea with sugar.	Nama sakare dotugu chaa parpa.
We drink our tea with sugar.	Nama sakare dotugu chaa parpa.
We really enjoyed ourselves.	Nama namottige gammath maltha.
We were next-door neighbors.	Nama dhumbu nerakaredakul aadh itha.
What have you come here for?	Ee ideg dhaye bathini?
What have you come here for?	Ee ideg dhaye bathini?
Where is the south terminal?	Dakshina thoodhitha vol undu?
Where would you like to sit?	Nik Vol kullare ista?
Why don't you come visit us?	Ee naman thikere dhaye barpuja?
Would you like to go abroad?	Nik pidai uru g poyere ista na?
You are not coming, are you?	Ee barpuja, atha?
You look nice in that dress.	Ee yedde thoojund ulla ee angi d.
Always keep your office tidy.	Ninna kacheri n nirmalad dhila.
Are they Japanese or Chinese?	Akul japanese aa chinsese aa?
Are you meeting someone here?	Nik yernanadala thikere unda mulu?
Brush your teeth after meals.	Vanas ayiboka ninna kuli dek.
Brush your teeth after meals.	Vanas ayiboka ninna kuli dek.
Correct the underlined words.	Thirth geet pad dhina shabdhalen sari malpu.
Do you have any tickets left?	Ninada vowla cheety oridhina?
Do you have to make a speech?	Nik ithe bashana malpoda?
Do you know what he has done?	Nik gothunda aye dhadha malthe nd?
Don't force the child to eat.	Baale n balathkara d thinpavarchi.
Don't lean against this wall.	indh gode d vundhu d unthorchi.
English is spoken in America.	America d english patheruni.
Football is my favorite game.	Football yenna ista dha gobbu.
Have you ever been to Africa?	Ee orala africa g pothana?
Have you ever been to Africa?	Ee orala africa g pothana?
Have you ever been to Canada?	Ee orala canada g pothana?
Have you ever written a book?	Ee orala booku barethana?
Have your roses come out yet?	Gulabhi nanala araldhija?
He came to see you yesterday.	Aye kode baide ninnan thooyere
He changed schools last year.	Aye poyina varsha shaale pagathe.
He doesn't have long to live.	Ayeg nana ath porth ijji badhkare.
He eats lunch at a cafeteria.	Aye canteen d vanas malpun.
He is good at playing tennis.	Aye tennis yedde gobuve.
He pulled his son by the ear.	Aye ayena mage n kebhi rd oyithe.
He set fire to his own house.	Aye ayena ilag thoo pothaye.
He wants these shirts washed.	Ayeg ee kuntulen dekere padod.
He wishes to become a doctor.	Ayeg vidhwamsa ayere ista.
He's out of town on business.	Ayeg bele rd athra uru burdh pothe.
His clothes always smell bad.	Ayena angi yepala vasane barpundu.
His long speech bored us all.	Ayena malla bashana yenkleg marak aand.
How did you come to know her?	Nik aal gurtha yencaha ayini?
I advise you to stop smoking.	Yan nik buddhi pande oyipuna bud andh.
I advise you to stop smoking.	Yan nik buddhi pande oyipuna bud andh.	
I agree with you to a degree.	Yenna lekkod ee sama.
I am more beautiful than you.	Yan ninardh jasthi shok ulle.
I am more beautiful than you.	Yan ninardh masth shok ulle.
I am pleased with the result.	Malleji kadeg yenk kushi aand.
I bought two bottles of milk.	Yan rad botli pher kanthe.
I can't allow you to do that.	Yenk ninnan aancha malpare budre apujji.
I can't really talk about it.	Yenk sathya aah vishaya pathre apujji.
I didn't want this to happen.	Yenk ista ijand encha ayere.
I don't feel like eating now.	Yenk ithe thinpina balli appund.
I don't like to drink coffee.	Yenk kaapi pare ista ijji.
I followed the deer's tracks.	Yan jinke dha kar dha aachi dha pirav poye.
I gave up smoking for a year.	Yan oyipuna burdh onji varsha avondh bathund.
I have a bad pain in my back.	Yenk ottrasi bayri bene avondundh.
I informed her of my success.	Yan yenna saphala n pande aleda.
I like both science and math.	Yenk radla shasthra baka lekka ista.
I mentioned your name to him.	Yan ninna pudhar pande ayeda.
I was laughed at by everyone.	Pura yenan thoodh thelthondh ither.
I went there dozens of times.	Yan ade paaka sathi pothe.
I worked on the farm all day.	Yan Kaanda d idi dhina bele manthe.
I'm anxious about his safety.	Yenk alna podige avondundh.
I'm catching the 11:00 train.	Yan pathonji gante dha rail pathuve.
It appears that he is honest.	Aye Sathyavanthe lekka thojuve.
It was her fate to die young.	Alna haanet barethund yelya prayad saipal andh.
It's an answer to her letter.	Indh alna kakaaji dha uthara.
It's no use arguing with him.	Ayeda patherdh prayojana ijji dhala.
Keep down, or you'll be shot.	Bagudh kullu ijindha goli buru.
Most people like watching TV.	Hechina janakuleg dhooradharshana thooyere ista.
My brother has a good memory.	Yenna aneg nenapu shakthi yedde undu.
My father has just come home.	Ayena amere ithe athe illag muttini.
My grandmother speaks slowly.	yenna ajer mella patherver.
My hobby is collecting coins.	Yenna abyasa pAvali Sangrahisu na. 
My telephone is out of order.	Yenna phone sari ijji.
Now they have three children.	Akleg ithe mujji jokul.
One language is never enough.	Onji bashe yepala yavuji.
Please make yourself at home.	Indh ilan ninna illa nd yen.
Please make yourself at home.	Indh ilan irna illa nd yenley.
Please show me your notebook.	dhayamanthudh ninna booku thoopav.
Please wait for five minutes.	dhayamanthudh ayin nimisha unthule.
Say which one you would like.	Panla nik vow bodu.
Seicho Matumoto died in 1992.	Seicho Matumoto 1992 d saithini.
She died yesterday afternoon.	Aal kode madhyana thirni.
She will be back before long.	Aal ithe podh pira barpal
Stop beating around the bush.	Pannene panorchi sarit pan.
Tea is widely grown in India.	Bharatha d chaa atha dai masth kade nadpuver.
That is no business of yours.	Ninna dhala adika ijji net.
That's because you're a girl.	Av dhaye panda ee ponnu.
The apple has begun to decay.	Av eppulu haal ayere annd
The capital of Italy is Rome.	Italy dha rajdhani Rome. 
The car hit a telephone pole.	Av car phone dha kamba g yedthund.
The cliff is almost vertical.	Gudde sumar nethig undu.	 
The girl did nothing but cry.	Av ponnu bulpunen buddh dhala malthijal.
The horse is a useful animal.	Kudhre onji upayoga appuna  prani.
The king crushed his enemies.	Av raja vairi naklen podi-podi malthe.
The monkey climbed up a tree.	Manga mara mitharund.
The population is increasing.	Jana sankhye jasthi avondundh.
The population is increasing.	Jana sankhye jasthi avondundh.
The ship set sail for Bombay.	kapal bombay g budund.
The train ran off the tracks.	Rail Aytha patti rd thathund.
There is a desk in this room.	Ayena kone d onji meji undu.
They abandoned their country.	Akul aklena desha n kai koriyer. 
They are talking about music.	Akul sangeetha da bagge patherond uller.
They resolved to work harder.	Akul nanala banga bathud bele malpuna nishchaya malther.
This was Rodica's fifth book.	Indh rodica na aine booku adhu ithind.
Wash your hands before meals.	Vanas malpunerd dhumbu  kai dekod.
We should love our neighbors.	Nama nerakaredaklen preethi malpod.
What she says sounds strange.	Aal ithe panna vichithra kenundu.
When are you going to Europe?	Europe g yeppa poyere?
When did the accident happen?	Av apagatha yeppa ayeni?
When did the accident happen?	Av apagatha yeppa ayeni?
Won't you join us for dinner?	Ee ini rathre namottige vanas g barpatha?
You didn't tell him anything?	Ee dhala panthijana ayeg?
You must send for the doctor.	Ee vidhwamsa n leppod aapund.
Are you interested in flowers?	Nik poo panda ista na?
Can you teach me how to steal?	Ee Yenk kanduna kalpavana?
Could I please use your phone?	Ninna phone Yenk ora koroliya?
Could I please use your phone?	Ninna phone Yenk ora koroliya?
Do you live with your parents?	Ee ninna appe-ammadlu ottige upunna?.
Do you remember what she said?	Nik gothunda Aal dhadha pandal?
Don't go back on your promise.	Ninna vachanan bududh korordchi.
Excuse me, is this seat taken?	Kshmaye kenuve,mulpa yera kulludh ither.
Few people live on the island.	Chur janakul dhivapad badukondh uller.
Half of the apples are rotten.	Ardha vasi eppulu haal athund.
He concealed the fact from me.	Aye yenard Av pathera dengadh dhiye.
He did it as he had been told.	Ayeg yencha panthere aancha manthe.
He is accustomed to hard work.	Ayeg kasta pathdh bele malpuna abyasa  athund.
He looked into the boy's eyes.	Aye  Av aanana kann n thooye.
He made many costly purchases.	Aye masth kass karchi manthe.
He spread butter on the bread.	Aye benne n bread dha mith paradaye. 
He took advantage of my youth.	Aye yenna yelya prayada laba dethe.
He took advantage of my youth.	Aye yenna yelya prayada laba dethe.
He was walking toward the sea.	Aye samudhra danchi povondh ithe.
He went to New York on Monday.	Aye somavara new york g poye.
He will return within 3 hours.	Aye muji gante da ullai barpe.
How about going to the movies?	Nama chalana chithra g ponda yencha?
How long have you been abroad?	Ee yeppard inchi ulla pidai urud?
How long have you been abroad?	Ee yeth samayard inchi pidai urudu ulla?
How was the weather yesterday?	Kode da havamana yencha ithind?
I accompanied him on the trip.	Thirgere ponaga yan ayena ottige ithe.
I am sorry if I disturbed you.	Yan upadra mathinek kshmaye kenondh ulle. 
I can't bear the sight of him.	Yenk ayen thoonda apuji.
I can't put up with this cold.	yenk ith chalinu saisere apuji.
I don't go to work on Sundays.	Yan ayithara bele g popuji.
I don't know if she will come.	Yenk gothuji aal barpalandh.
I don't think it's reasonable.	Yenna andhajid Av agathiya ijjand.
I don't watch much basketball.	Yan basketball thoopuji ath.
I felt that I should help her.	Yenk aand alna sahaya malpod pandh.
I have no idea how he escaped.	Yenk gothe ayiji aye yencha thapaye pandh.
I have not seen him in months.	Ayen thoovonde onji thingol avondh bathund.
I have to put the baby to bed.	Yenk bale n jeppudayere undu.
I hope that it rains tomorrow.	Yenk yelle barsa barpund pandh nirekshaye undu.
I take a bath every other day.	Yan rad dhinak ora meepe.
I was caught in a traffic jam.	Yan traffic jam g thikaldh booriye.
I was caught in a traffic jam.	Yan traffic jam g thikaldh booriye.
I will be pleased to help you.	Yan nik kushi-kushit sahaya malpuve.
I will go to America tomorrow.	Yan america g pope yelle.
I'm sure I've seen him before.	Kandeetha ,yan ayen dhumbu thoothe.
I'm thinking of changing jobs.	Yan alochane malthondh ulle kelasa budoda borchandh.
It's four o'clock by my watch.	Yenna gadiyara d nal aand.
Man can't live without dreams.	Manushya g kana ijande badhkare apuji.
Playing tennis is easy for me.	Tennis gobbere sulabha yenk.
Please feed the dog every day.	dhayamanthudh Dhinala nayi g thinpala.
Please turn on the television.	dhayamanthudh dhooradharshana chal malpule.
School begins at eight-thirty.	Shale yedma arek suru aapund.
She forgot to mail the letter.	Aleg pathra barere mareth pondu.
She forgot to mail the letter.	Aleg pathra barere mareth pondu.
She is not afraid of anything.	Aleg oyithala podige aapund.
She is not afraid of anything.	Aleg oyithala podige aapund.
She thought for a few minutes.	Aal onji nimisha alochane manthal.
The flowers have all withered.	Pura poo baadudh pond.
The king governed the country.	Raje deshan allunondh ulle.
The patient breathed his last.	Rogee ayena kone tha swasa dethe.
The ship is bound for Finland.	Indh kapal finland g badhavathand.
The vase was broken to pieces.	Pikadhani podi podi aand . 
The war is going in our favor.	Yudha namma paravadh povondhu undu.
There is a cat under the desk.	Meji da thirth onji pooche undu.
There is no future in his job.	Indh bele g bavishyad bile ijji.
They consider him intelligent.	Akul ayen buddhivanther nd nenther.
They have no house to live in.	Akleg illa  ijji badhkare. 
They must have made a mistake.	Aklerd thapu aand.
This box contains five apples.	Ee dabbi d aine eppulu undu.
This problem is hard to solve.	Indh samasye n sari malpere banga undu.
This river is one mile across.	Indh nadhi onji mile yeduru.
This rule applies to you, too.	Indh niyama nikla thagundh.
This school has many students.	Indh shaale d masth vidhyarthi nakul uller.
Today is my sister's birthday.	Ini yenna akkana putudhina dhina.
Today is my sister's birthday.	Ini yenna akkana putudhina dhina.
We were surprised at the news.	Namak sudhi kened aschaarya aand.
What is done cannot be undone.	Vow malth aand radh malpere apuji.
What is done cannot be undone.	Vow malth aand radh malpere apuji.
What is the name of this bird?	Ee pakshi da pudar dhadha?
What kind of work will you do?	Ee vow thara da bele malpuva?
What's your home phone number?	Ninna illa da dhooravani sanke dhadha.
When do you usually go to bed?	Ee yepala yeth ganteg jepuva.
Who was the letter written to?	Indh pathra yereg barethini?
Why didn't she come yesterday?	Ee kode dane baija?
You cannot park your car here.	Nik ninna gaadi n mullu unthayare apuji. 
You may sit down on the chair.	Nik ithe kurchi d kuloli.
Your team is better than ours.	Ninna team namard yedde undu.
"What time is it?" "It's 3:20."	Ithe gante yeth, muji irvana?
A fire broke out near my house.	Yenna kaithal ilag thoo borund.
Are you going to ask me or not?	Ee yenan kenuvatha?
Both he and his wife have cars.	Aye baka ayena bodedida radd janatla gaadi undu.
Both of my sisters are married.	Yenna radd akka nakleg madime athund.
Business is so slow these days.	Vyapara ithichig masth mella avondhund.
Can I have the key now, please?	Ithe yenk chabhi thikkoli ya ,dhayamanthudhd.
Dad is shaving in the bathroom.	Amere bathroom d gadda dethond ullere.
Did he come by bus or by train?	Aye bus d bathina ath rail da?
Do you have a room of your own?	Ninada nike onji kone unda?
Do you have one that's cheaper?	Nerd kadime da ijja ninada?
Do you know how to drive a car?	Nik gaadi budre gothunda?
Do you know how to drive a car?	Nik gaadi budre gothunda?
Do you know how to drive a car?	Ereg gaadi budre gothunde?
Does anyone here speak English?	Mulpa yerla English pathervera?
English is spoken in Australia.	English australia d pathervere.
Excuse me, but can you help me?	Chur yenna sahaya malpoliya?
Few people know about the plan.	Chur janakleg gothund upaya da bagge.
Fighting won't settle anything.	Ladaiye malthd vowla sari apuji.
Flying a kite can be dangerous.	Gaali pata budhpuna apayakari.
Give me your attention, please.	dhayamanthudh,gamana inchi koru.
He has blue eyes and fair hair.	Ayeda neeli kann baka boldu kujal undu.
